latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
48.34261,-118.40205,301.75,0.42,0.38,2025-09-13,1013,N,VIIRS,60,2.0NRT,286.83,1.44,N,301.75
48.32959,-118.32213,346.6,0.44,0.38,2025-09-10,2057,N,VIIRS,60,2.0NRT,299.02,16.59,D,346.6
49.67386,-121.0718,296.47,0.39,0.44,2025-09-06,1045,N,VIIRS,60,2.0NRT,281.18,1.96,N,296.47
52.764,-124.57463,328.39,0.5,0.41,2025-09-08,1009,N,VIIRS,60,2.0NRT,281.78,6.09,N,328.39
52.2253,-124.92349,326.57,0.32,0.55,2025-09-07,2155,N,VIIRS,60,2.0NRT,293.17,2.76,D,326.57
31.75924,-83.86456,340.18,0.48,0.48,2025-09-10,1910,N,VIIRS,60,2.0NRT,299.44,17.49,D,340.18
52.88438,-124.85173,367.0,0.38,0.36,2025-09-10,2057,N,VIIRS,80,2.0NRT,299.43,11.54,D,367.0
48.5135,-117.50376,348.27,0.39,0.36,2025-09-06,2032,N,VIIRS,60,2.0NRT,296.87,11.99,D,348.27
55.5122,-109.34476,307.54,0.39,0.37,2025-09-10,928,N,VIIRS,60,2.0NRT,268.92,1.26,N,307.54
48.33244,-118.33897,302.15,0.38,0.59,2025-09-06,905,N,VIIRS,60,2.0NRT,289.24,1.31,N,302.15
48.1716,-103.05285,311.13,0.41,0.45,2025-09-08,828,N,VIIRS,60,2.0NRT,280.32,1.07,N,311.13
55.36448,-107.17703,351.22,0.39,0.36,2025-09-09,1938,N,VIIRS,60,2.0NRT,305.78,99.43,D,351.22
63.01056,-117.15717,341.92,0.38,0.36,2025-09-12,1030,N,VIIRS,60,2.0NRT,283.32,3.85,N,341.92
52.71386,-124.7989,295.19,0.39,0.36,2025-09-07,1026,N,VIIRS,60,2.0NRT,283.21,1.14,N,295.19
55.38145,-109.38328,350.41,0.38,0.59,2025-09-13,833,N,VIIRS,60,2.0NRT,290.03,3.9,N,350.41
41.63352,-85.7638,329.07,0.45,0.39,2025-09-11,1856,N,VIIRS,60,2.0NRT,296.63,0.61,D,329.07
59.90497,-122.11321,300.26,0.39,0.36,2025-09-06,1041,N,VIIRS,60,2.0NRT,282.32,0.49,N,300.26
52.71236,-124.52509,348.77,0.45,0.39,2025-09-09,2118,N,VIIRS,60,2.0NRT,293.58,6.42,D,348.77
35.53334,-115.45349,340.9,0.39,0.59,2025-09-13,1957,N,VIIRS,60,2.0NRT,304.43,0.9,D,340.9
30.97739,-94.85413,346.68,0.46,0.39,2025-09-10,1913,N,VIIRS,60,2.0NRT,309.51,11.79,D,346.68
47.39827,-120.79495,339.13,0.46,0.47,2025-09-06,1045,N,VIIRS,60,2.0NRT,291.69,9.99,N,339.13
47.38856,-120.85109,305.62,0.54,0.51,2025-09-11,1051,N,VIIRS,60,2.0NRT,286.25,1.22,N,305.62
32.57059,-93.21664,333.19,0.51,0.41,2025-09-14,1938,N,VIIRS,60,2.0NRT,296.56,4.47,D,333.19
61.69735,-121.15552,348.1,0.39,0.36,2025-09-06,2036,N,VIIRS,60,2.0NRT,295.48,18.67,D,348.1
44.16731,-76.80508,296.82,0.49,0.65,2025-09-10,608,N,VIIRS,60,2.0NRT,283.58,1.44,N,296.82
28.67113,-82.0427,330.24,0.39,0.44,2025-09-13,1813,N,VIIRS,60,2.0NRT,297.9,6.77,D,330.24
55.41107,-109.2833,300.76,0.49,0.49,2025-09-07,1024,N,VIIRS,60,2.0NRT,277.22,1.21,N,300.76
62.77604,-116.55845,330.96,0.48,0.4,2025-09-06,2036,N,VIIRS,60,2.0NRT,290.17,16.08,D,330.96
42.81387,-80.09834,308.19,0.34,0.56,2025-09-09,807,N,VIIRS,60,2.0NRT,280.93,2.1,N,308.19
52.74393,-124.96969,330.38,0.46,0.39,2025-09-11,2040,N,VIIRS,60,2.0NRT,294.23,49.16,D,330.38
55.41027,-109.29288,352.94,0.43,0.46,2025-09-06,2034,N,VIIRS,60,2.0NRT,291.03,26.66,D,352.94
55.48417,-109.28049,299.84,0.5,0.41,2025-09-11,909,N,VIIRS,60,2.0NRT,271.0,1.74,N,299.84
55.49826,-109.27991,345.63,0.38,0.59,2025-09-10,2059,N,VIIRS,60,2.0NRT,298.4,16.48,D,345.63
61.65375,-121.24199,325.53,0.6,0.71,2025-09-13,1826,N,VIIRS,60,2.0NRT,286.97,6.09,D,325.53
52.70448,-110.97237,347.04,0.47,0.4,2025-09-14,1945,N,VIIRS,60,2.0NRT,300.94,5.58,D,347.04
32.32612,-101.83306,311.31,0.38,0.59,2025-09-10,754,N,VIIRS,60,2.0NRT,290.82,0.9,N,311.31
61.71544,-121.09888,297.95,0.54,0.51,2025-09-08,1145,N,VIIRS,60,2.0NRT,282.24,1.0,N,297.95
52.41932,-124.87348,326.98,0.39,0.36,2025-09-07,1026,N,VIIRS,60,2.0NRT,279.55,9.67,N,326.98
61.64841,-121.23074,296.16,0.47,0.4,2025-09-10,1108,N,VIIRS,60,2.0NRT,281.56,0.88,N,296.16
59.38837,-120.32389,296.69,0.42,0.38,2025-09-13,1013,N,VIIRS,60,2.0NRT,274.71,0.91,N,296.69
52.40817,-124.73267,334.83,0.5,0.41,2025-09-08,1009,N,VIIRS,60,2.0NRT,282.31,6.18,N,334.83
62.95875,-117.14019,298.87,0.39,0.36,2025-09-12,1030,N,VIIRS,60,2.0NRT,276.54,0.8,N,298.87
30.24121,-93.27695,307.78,0.41,0.61,2025-09-12,716,N,VIIRS,60,2.0NRT,292.89,2.09,N,307.78
62.78082,-116.69894,296.24,0.39,0.36,2025-09-12,1030,N,VIIRS,60,2.0NRT,282.03,0.88,N,296.24
59.35678,-122.55502,303.01,0.49,0.4,2025-09-10,1108,N,VIIRS,60,2.0NRT,279.07,1.38,N,303.01
30.85084,-116.03014,305.8,0.39,0.44,2025-09-06,909,N,VIIRS,60,2.0NRT,291.98,1.11,N,305.8
41.63395,-87.14294,312.84,0.75,0.77,2025-09-14,633,N,VIIRS,60,2.0NRT,287.26,3.64,N,312.84
51.9249,-125.05303,322.59,0.41,0.37,2025-09-06,1045,N,VIIRS,60,2.0NRT,277.43,3.73,N,322.59
36.96525,-118.9856,334.74,0.39,0.36,2025-09-09,952,N,VIIRS,60,2.0NRT,282.71,2.26,N,334.74
52.29897,-124.93231,326.46,0.48,0.48,2025-09-13,2144,N,VIIRS,60,2.0NRT,290.14,4.0,D,326.46
42.27934,-83.13061,305.76,0.6,0.53,2025-09-14,816,N,VIIRS,60,2.0NRT,287.16,1.45,N,305.76
34.05848,-91.32785,347.53,0.39,0.36,2025-09-10,1913,N,VIIRS,60,2.0NRT,295.71,10.71,D,347.53
46.57188,-114.81245,342.77,0.45,0.39,2025-09-07,2012,N,VIIRS,60,2.0NRT,303.42,19.72,D,342.77
53.00895,-125.08944,299.02,0.4,0.37,2025-09-07,1026,N,VIIRS,60,2.0NRT,282.22,0.51,N,299.02
43.07159,-80.85801,304.18,0.42,0.38,2025-09-12,712,N,VIIRS,60,2.0NRT,284.83,0.93,N,304.18
61.72475,-121.10312,326.98,0.6,0.53,2025-09-13,1151,N,VIIRS,60,2.0NRT,275.12,11.74,N,326.98
34.97841,-112.37502,300.42,0.4,0.37,2025-09-11,915,N,VIIRS,60,2.0NRT,288.92,0.42,N,300.42
42.31224,-82.05373,297.58,0.51,0.66,2025-09-09,627,N,VIIRS,60,2.0NRT,281.17,0.67,N,297.58
41.75929,-123.18508,341.55,0.56,0.69,2025-09-06,2212,N,VIIRS,60,2.0NRT,290.76,34.3,D,341.55
62.96282,-117.12272,321.42,0.41,0.37,2025-09-13,1011,N,VIIRS,60,2.0NRT,286.68,2.42,N,321.42
48.31075,-118.31124,303.07,0.43,0.38,2025-09-13,1013,N,VIIRS,60,2.0NRT,288.27,1.71,N,303.07
36.94617,-119.09932,319.84,0.53,0.67,2025-09-06,1047,N,VIIRS,60,2.0NRT,290.05,4.47,N,319.84
47.75585,-120.51422,340.6,0.43,0.62,2025-09-10,1110,N,VIIRS,60,2.0NRT,284.05,3.06,N,340.6
55.47325,-109.29649,315.43,0.39,0.36,2025-09-10,928,N,VIIRS,60,2.0NRT,270.79,2.43,N,315.43
47.92396,-118.38617,327.79,0.56,0.52,2025-09-06,1045,N,VIIRS,60,2.0NRT,290.19,5.03,N,327.79
52.58937,-125.74075,342.83,0.55,0.51,2025-09-07,2017,N,VIIRS,60,2.0NRT,297.52,12.97,D,342.83
37.05083,-95.60685,301.06,0.39,0.36,2025-09-09,809,N,VIIRS,60,2.0NRT,289.58,0.79,N,301.06
62.60821,-117.6722,312.21,0.4,0.37,2025-09-06,1041,N,VIIRS,60,2.0NRT,284.41,1.35,N,312.21
52.4117,-124.39948,347.98,0.34,0.56,2025-09-07,2155,N,VIIRS,60,2.0NRT,290.98,259.55,D,347.98
62.78236,-116.60156,300.63,0.38,0.59,2025-09-06,902,N,VIIRS,60,2.0NRT,276.74,1.63,N,300.63
52.21685,-124.82116,332.6,0.33,0.55,2025-09-07,2155,N,VIIRS,60,2.0NRT,267.54,4.93,D,332.6
55.3461,-109.26717,330.77,0.4,0.37,2025-09-13,2002,N,VIIRS,60,2.0NRT,298.95,4.05,D,330.77
31.83297,-112.69768,342.88,0.45,0.47,2025-09-07,2008,N,VIIRS,60,2.0NRT,300.28,19.93,D,342.88
28.7019,-96.53159,308.53,0.38,0.36,2025-09-09,813,N,VIIRS,60,2.0NRT,294.09,1.1,N,308.53
36.52329,-82.47195,326.19,0.46,0.39,2025-09-13,1815,N,VIIRS,60,2.0NRT,296.42,1.35,D,326.19
63.13108,-119.225,326.94,0.39,0.36,2025-09-13,2004,N,VIIRS,60,2.0NRT,295.4,3.39,D,326.94
61.7991,-120.96121,339.32,0.49,0.48,2025-09-09,2121,N,VIIRS,60,2.0NRT,288.09,33.09,D,339.32
36.94867,-119.06989,350.06,0.52,0.42,2025-09-08,1013,N,VIIRS,60,2.0NRT,295.72,13.72,N,350.06
51.7086,-123.74475,329.59,0.53,0.5,2025-09-13,2142,N,VIIRS,60,2.0NRT,301.31,7.42,D,329.59
36.96304,-118.99867,306.35,0.61,0.71,2025-09-07,850,N,VIIRS,60,2.0NRT,286.72,6.18,N,306.35
55.67995,-109.561,296.24,0.4,0.37,2025-09-10,928,N,VIIRS,60,2.0NRT,285.69,2.46,N,296.24
52.7254,-124.94148,367.0,0.32,0.55,2025-09-07,2155,N,VIIRS,80,2.0NRT,300.93,6.46,D,367.0
59.49109,-111.62996,367.0,0.32,0.55,2025-09-12,850,N,VIIRS,80,2.0NRT,288.55,2.5,N,367.0
32.87263,-85.77496,356.61,0.39,0.44,2025-09-10,1913,N,VIIRS,60,2.0NRT,314.76,31.43,D,356.61
33.03309,-91.21564,335.6,0.62,0.72,2025-09-07,2008,N,VIIRS,60,2.0NRT,302.59,5.96,D,335.6
48.34169,-118.36777,342.66,0.7,0.75,2025-09-10,1919,N,VIIRS,60,2.0NRT,292.08,16.75,D,342.66
55.34798,-109.26102,331.28,0.51,0.41,2025-09-12,2021,N,VIIRS,60,2.0NRT,300.83,6.02,D,331.28
53.01145,-125.1032,337.98,0.41,0.45,2025-09-08,2136,N,VIIRS,60,2.0NRT,298.06,9.36,D,337.98
35.79755,-81.65276,367.0,0.36,0.57,2025-09-10,1913,N,VIIRS,80,2.0NRT,304.94,23.31,D,367.0
33.36448,-90.35091,331.75,0.45,0.63,2025-09-13,1815,N,VIIRS,60,2.0NRT,299.51,13.98,D,331.75
53.03842,-124.92928,298.15,0.65,0.73,2025-09-07,1206,N,VIIRS,60,2.0NRT,278.64,5.24,N,298.15
36.01836,-79.65483,302.81,0.39,0.36,2025-09-12,714,N,VIIRS,60,2.0NRT,287.15,0.61,N,302.81
37.02356,-119.13485,319.57,0.48,0.4,2025-09-10,934,N,VIIRS,60,2.0NRT,282.18,3.9,N,319.57
47.68451,-120.43988,367.0,0.66,0.73,2025-09-12,852,N,VIIRS,80,2.0NRT,290.4,19.3,N,367.0
62.58474,-117.68234,304.51,0.4,0.37,2025-09-06,1041,N,VIIRS,60,2.0NRT,284.01,2.26,N,304.51
35.10282,-91.92675,300.68,0.42,0.45,2025-09-11,733,N,VIIRS,60,2.0NRT,288.3,0.19,N,300.68
52.69778,-124.51697,307.48,0.4,0.6,2025-09-10,930,N,VIIRS,60,2.0NRT,279.68,7.07,N,307.48
55.45006,-109.27454,307.91,0.37,0.58,2025-09-13,833,N,VIIRS,60,2.0NRT,285.86,1.21,N,307.91
52.83091,-124.67177,346.94,0.45,0.39,2025-09-11,2040,N,VIIRS,60,2.0NRT,299.17,35.96,D,346.94
55.88884,-109.7304,339.72,0.39,0.37,2025-09-13,2002,N,VIIRS,60,2.0NRT,300.89,7.89,D,339.72
41.67771,-87.41759,309.25,0.39,0.44,2025-09-14,816,N,VIIRS,60,2.0NRT,290.94,1.01,N,309.25
37.49681,-89.2529,326.39,0.43,0.46,2025-09-07,1828,N,VIIRS,60,2.0NRT,295.56,2.18,D,326.39
47.92728,-118.50669,296.26,0.4,0.44,2025-09-10,930,N,VIIRS,60,2.0NRT,285.14,0.65,N,296.26
55.50768,-109.2879,347.42,0.39,0.36,2025-09-10,928,N,VIIRS,60,2.0NRT,287.31,29.42,N,347.42
55.483,-109.1944,301.4,0.57,0.69,2025-09-10,1108,N,VIIRS,60,2.0NRT,276.79,1.61,N,301.4
47.67178,-120.4433,301.02,0.46,0.39,2025-09-07,1028,N,VIIRS,60,2.0NRT,254.31,0.99,N,301.02
